Serial_No,Date,Season,Time_of_Day,Origin,Destination,Cargo_Type,Shipping_Mode,Weather,Special_Handling,Freight_Volume,Price_per_Unit,Delivery_Status
1,2014-01-01 00:00:00.000000000,Winter,Night,West,South,Automobile,Sea,Rain,None,53.89,255.06,On Time
2,2014-01-01 00:52:34.495544955,Winter,Night,Central,North,Electronics,Air,Storm,None,87.77,337.95,Cancelled
3,2014-01-01 01:45:08.991089910,Winter,Night,East,East,Pharma,Air,Storm,Hazardous,55.23,533.52,Cancelled
4,2014-01-01 02:37:43.486634866,Winter,Night,Central,West,Pharma,Road,Clear,Fragile,120.54,164.55,Delayed
5,2014-01-01 03:30:17.982179821,Winter,Night,Central,West,FMCG,Rail,Clear,Fragile,97.7,162.11,On Time
6,2014-01-01 04:22:52.477724777,Winter,Night,South,East,Agriculture,Air,Clear,Perishable,119.69,248.57,Cancelled
7,2014-01-01 05:15:26.973269732,Winter,Morning,East,North,Electronics,Rail,Clear,Fragile,136.18,116.64,Delayed
8,2014-01-01 06:08:01.468814688,Winter,Morning,East,West,Automobile,Sea,Fog,Fragile,64.6,213.41,Delayed
9,2014-01-01 07:00:35.964359643,Winter,Morning,East,South,Agriculture,Road,Fog,Perishable,100.02,197.98,Delayed
10,2014-01-01 07:53:10.459904599,Winter,Morning,Central,East,Pharma,Sea,Clear,Fragile,110.06,126.06,On Time
11,2014-01-01 08:45:44.955449554,Winter,Morning,West,West,Pharma,Rail,Rain,Perishable,90.01,175.8,Delayed
12,2014-01-01 09:38:19.450994509,Winter,Morning,East,West,Electronics,Rail,Clear,Perishable,85.43,185.12,On Time
13,2014-01-01 10:30:53.946539465,Winter,Morning,Central,Central,Electronics,Road,Clear,Hazardous,123.86,160.18,Delayed
14,2014-01-01 11:23:28.442084420,Winter,Morning,South,North,Automobile,Road,Storm,Perishable,61.42,320.41,Cancelled
15,2014-01-01 12:16:02.937629376,Winter,Afternoon,West,East,FMCG,Road,Rain,None,98.17,201.67,Cancelled
16,2014-01-01 13:08:37.433174331,Winter,Afternoon,South,West,Automobile,Road,Clear,None,88.38,223.76,Cancelled
17,2014-01-01 14:01:11.928719287,Winter,Afternoon,West,East,Pharma,Road,Rain,Fragile,96.71,204.69,On Time
18,2014-01-01 14:53:46.424264242,Winter,Afternoon,Central,South,Pharma,Sea,Fog,None,105.96,130.89,Cancelled
19,2014-01-01 15:46:20.919809198,Winter,Afternoon,North,Central,Automobile,Air,Clear,Hazardous,83.62,354.53,Delayed
20,2014-01-01 16:38:55.415354153,Winter,Afternoon,West,North,Agriculture,Sea,Clear,Perishable,108.15,128.26,On Time
21,2014-01-01 17:31:29.910899108,Winter,Evening,South,North,FMCG,Road,Clear,Fragile,130.8,151.75,On Time
22,2014-01-01 18:24:04.406444064,Winter,Evening,Central,South,FMCG,Sea,Clear,Perishable,81.1,170.52,On Time
23,2014-01-01 19:16:38.901989019,Winter,Evening,West,West,Electronics,Sea,Rain,Fragile,83.76,165.17,On Time
24,2014-01-01 20:09:13.397533975,Winter,Evening,North,Central,FMCG,Air,Clear,Perishable,96.53,307.6,On Time
25,2014-01-01 21:01:47.893078930,Winter,Night,North,North,Electronics,Sea,Storm,None,111.88,124.03,Delayed
26,2014-01-01 21:54:22.388623886,Winter,Night,East,East,FMCG,Rail,Clear,Fragile,109.28,145.09,On Time
27,2014-01-01 22:46:56.884168841,Winter,Night,East,South,FMCG,Rail,Fog,Hazardous,69.1,228.25,Delayed
28,2014-01-01 23:39:31.379713797,Winter,Night,South,North,Pharma,Rail,Clear,None,109.33,145.02,On Time
